Type / Creator / Imprint,Publisher,Author,Title,Extra Title Info,Permanent Location,Call Number,Date,Status,Material Type,MMS ID
"Book By United Methodist Women (West Liberty, Iowa) (Audubon, Iowa : Jumbo Jack's Cookbooks, 1988.)","West Liberty, Iowa) (Audubon, Iowa : Jumbo Jack's Cookbooks, 1988.)",United Methodist Women,"The sesquicentennial ""special"" : West Liberty, Iowa, 150 years, 1838-1988",[compiled by Sesquicentennial Cookbook Committee / U.M.W.],PARKS General Collection,TX715.2 M53 S48x 1988,1988,Item in place,Book,990015565530102756
"Book By Hilltop Care Center (Cherokee, Iowa) (Iowa Falls, Iowa : General Publishing and Binding, 1984.)","Cherokee, Iowa) (Iowa Falls, Iowa : General Publishing and Binding, 1984.)",Hilltop Care Center,"Hilltop Care Center, Cherokee, Iowa.",,PARKS General Collection,TX715.2 M53 H55x 1984,1984,Item in place,Book,990016366380102756
"Book By Calumet (Iowa). Centennial Cookbook Committee. (Orange City, Iowa : Pluim Publishing, [1987])","Iowa). Centennial Cookbook Committee. (Orange City, Iowa : Pluim Publishing, [1987])",Calumet,"Calumet centennial cookbook, 1887-1987",[Centennial Cookbook Committee],PARKS General Collection,TX715.2 M53 C35x 1987,1987,Item in place,Book,990014855300102756
"Book By Whitten (Iowa). Centennial Cookbook Committee. (Iowa Falls, Iowa : General Publishing and Binding, 1981.)","Iowa). Centennial Cookbook Committee. (Iowa Falls, Iowa : General Publishing and Binding, 1981.)",Whitten,"Whitten centennial cookbook, 1882-1982",[Centennial Cookbook Committee?],PARKS General Collection,TX715.2 M53 W553x 1981,1981,Item in place,Book,990017121120102756
"Book By Rhodes (Iowa). Centennial Cookbook Committee. (Waverly, Iowa : G & R Publishing, [1983])","Iowa). Centennial Cookbook Committee. (Waverly, Iowa : G & R Publishing, [1983])",Rhodes,Edenville-Rhodes centennial cookbook : 1883-1983,[Edenville-Rhodes Centennial Cookbook Committee].,PARKS General Collection,TX715.2 M53 E34x 1983,1983,Item in place,Book,990014568430102756
"Book By P.E.O. Sisterhood. Chapter CZ (Jefferson, Iowa) (Audubon, Iowa : Jumbo Jack's Cookbook Company, 1983.)","Jefferson, Iowa) (Audubon, Iowa : Jumbo Jack's Cookbook Company, 1983.)",P.E.O. Sisterhood. Chapter CZ,"Landmarks of good cooking, Jefferson P.E.O.","[Chapter CZ, P.E.O., Jefferson, Iowa]",PARKS General Collection,TX715.2 M53 L365x 1983,1983,Item in place,Book,990017382960102756
"Book By First Congregational Church (Marshalltown, Iowa). (Iowa Falls, Iowa : General Publishing and Binding, 1983.)","Marshalltown, Iowa). (Iowa Falls, Iowa : General Publishing and Binding, 1983.)",First Congregational Church,"First Congregational Church, Marshalltown, Iowa",[First Congregational Church Cookbook Committee?].,PARKS General Collection,TX715.2 M53 F5725x 1983,1983,Item in place,Book,990016432040102756
"Book By Presbyterian Church (Sigourney, Iowa) United Presbyterian Youth Group. (Deep River, Iowa : Brennan Printing, 1981.)","Sigourney, Iowa) United Presbyterian Youth Group. (Deep River, Iowa : Brennan Printing, 1981.)",Presbyterian Church,"United Presbyterian cook book, Sigourney, Iowa",[compiled by the United Presbyterian Youth Group].,PARKS General Collection,TX715.2 M53 U56x 1981,1981,Item in place,Book,990016206030102756
"Book By Sacred Heart Church (Meyer, Iowa) (Waverly, Iowa : G & R Publishing, 1997.)","Meyer, Iowa) (Waverly, Iowa : G & R Publishing, 1997.)",Sacred Heart Church,Favorite recipes : a collection of recipes,"from members and friends of Sacred Heart Parish, Meyer, Iowa.",PARKS General Collection,TX715.2 M53 F3853x 1997,1997,Item in place,Book,990016395250102756
"Book By Association for Retarded Citizens/Iowa. ([Des Moines, Iowa] : ARC, 1991.)","[Des Moines, Iowa] : ARC, 1991.)",Association for Retarded Citizens/Iowa.,Iowa cooks,ARC Association for Retarded Citizens.,PARKS General Collection,TX715.2 M53 I6926x 1991,1991,Item in place,Book,990018338820102756
"Book By Logsdon, Karen. (Des Moines, Iowa : Karen Logsdon, [1984])","Des Moines, Iowa : Karen Logsdon, [1984])","Logsdon, Karen.",Iowa ... cooking at its best : recipes contributed exclusively by Iowans,[edited by Karen Logsdon],PARKS General Collection,TX715.2 M53 I593x 1984,1984,Item in place,Book,990017345420102756
"Book By First Baptist Church (Centerville, Iowa) (Kearney, NE : Cookbooks by Morris Press, [1986])","Centerville, Iowa) (Kearney, NE : Cookbooks by Morris Press, [1986])",First Baptist Church,"First Baptist Church, 1851-1986, Centerville, Iowa.",,PARKS Spec Coll: Archives,TX715.2 M53 F565x 1986,1986,Item in place,Book,990018240150102756
"Book By Assembly of God (New Sharon, Iowa). Missionettes Club. (Iowa Falls, Iowa : General Publishing and Binding, 1982?)","New Sharon, Iowa). Missionettes Club. (Iowa Falls, Iowa : General Publishing and Binding, 1982?)",Assembly of God,"Assembly of God, New Sharon, Iowa",Missionettes.,PARKS General Collection,TX715.2 M53 A87x 1982,1982,Item in place,Book,990016221260102756
"Book By Iowa Pork Producers Association. (Clive, Iowa : Iowa Pork Producers [Association]?, 1989.)","Clive, Iowa : Iowa Pork Producers [Association]?, 1989.)",Iowa Pork Producers Association.,Iowa's finest pork cook-off recipes,Iowa Pork Producers [Association].,PARKS General Collection,TX749.5 P67 I59x 1989,1989,Item in place,Book,990016177610102756
"Book By Order of the Eastern Star. Oskaloosa Chapter #146 (Oskaloosa, Iowa) (Lenexa, Kan. : Cookbook Publishers, Inc., [1981])","Oskaloosa, Iowa) (Lenexa, Kan. : Cookbook Publishers, Inc., [1981])",Order of the Eastern Star. Oskaloosa Chapter #146,"What's cookin'? in Oskaloosa, Iowa","compiled by Oskaloosa Chapter #146, Order of the Eastern Star.",PARKS General Collection,TX715.2 M53 W5326x 1981,1981,Item in place,Book,990016010470102756
"Book By St. Paul's Lutheran Church (Yorktown, Iowa) (Iowa Falls, Iowa : General Publishing and Binding, 1977.)","Yorktown, Iowa) (Iowa Falls, Iowa : General Publishing and Binding, 1977.)",St. Paul's Lutheran Church,"St. Paul Lutheran, Yorktown, Iowa",[sponsored by St. Paul's Ladies Aid].,PARKS General Collection,TX715.2 M53 S2534x 1977,1977,Item in place,Book,990016247030102756
"Book By Iowa Machine Shed (Restaurant). (Davenport, Iowa : Audubon, IA : Iowa Machine Shed [between 1990 and 1999?].)","Restaurant). (Davenport, Iowa : Audubon, IA : Iowa Machine Shed [between 1990 and 1999?].)",Iowa Machine Shed,The Machine Shed farm style cooking.,,PARKS General Collection,TX715.2 M53 M33x 1999,1999,Item in place,Book,990012736270102756
"Book By McLain, Ruth Leith. ([Place of publication not identified] : [publisher not identified], [date of publication not identified])","[Place of publication not identified] : [publisher not identified], [date of publication not identified])","McLain, Ruth Leith.",Iowa farm fashions in food,by Ruth Leith McLain.,PARKS Special Collections,TX715.2 M53 I6924x,TX715.2 M53 I6924x,Item in place,Book,990015656080102756
"Book By Loyd, Jim. (Cedar Rapids, Iowa : Morris Plan/MorAmerica Financial Corporation, [1971])","Cedar Rapids, Iowa : Morris Plan/MorAmerica Financial Corporation, [1971])","Loyd, Jim.",58 Christmas candy recipes : Iowa's favorite Christmas candy recipes,from Jim Loyd.,PARKS General Collection,TX739.2 C45 A15x 1971,1971,Item in place,Book,990018312160102756
"Book By Schubert, Wilma. (Memphis, TN : Wimmer Brothers Books, [1983])","Memphis, TN : Wimmer Brothers Books, [1983])","Schubert, Wilma.",A taste of Iowa : second seasoning,"[Cookbook Committee, Wilma Schubert, chairman ... [and others] ; prepared especially for the American Cancer Society, Iowa Division, Inc.]",PARKS General Collection,TX715.2 M53 T372x 1983,1983,Item in place,Book,990015947350102756
"Book By Sesquicentennial Cookbook Planning Committee (Burlington, Iowa). ([Burlington, Iowa] : [Sesquicentennial Cookbook Planning Committee?], [1983])","Burlington, Iowa). ([Burlington, Iowa] : [Sesquicentennial Cookbook Planning Committee?], [1983])",Sesquicentennial Cookbook Planning Committee,Heritage cookbook : receipts and recipes of yesterday and today,"[Burlington, Iowa, Sesquicentennial Cookbook Planning Committee.]",PARKS General Collection,TX715.2 M53 H47x 1983,1983,Item in place,Book,990016281100102756
"Book By Chickasaw County Historical Society. (Iowa Falls, Iowa : General Publishing and Binding, 1970.)","Iowa Falls, Iowa : General Publishing and Binding, 1970.)",Chickasaw County Historical Society.,"Our Iowa heritage cook book, 1853-1970",Chickasaw County Historical Society.,PARKS General Collection,TX715.2 M53 O9742x 1970,1970,Item in place,Book,990017374470102756
"Book By Keswick Homemakers Club (Keswick, Iowa) (Iowa Falls, Iowa : General Publishing and Binding, 1978.)","Keswick, Iowa) (Iowa Falls, Iowa : General Publishing and Binding, 1978.)",Keswick Homemakers Club,"Keswick, Iowa centennial, 1879-1979",Homemakers Club.,PARKS General Collection,TX715.2 M53 K475x 1978,1978,Item in place,Book,990016375010102756
"Book By Iowa Power and Light Company. Home Service Department. ([Des Moines, Iowa] : Iowa Power and Light Company, Home Service Dept., [between 1970 and 1979?])","[Des Moines, Iowa] : Iowa Power and Light Company, Home Service Dept., [between 1970 and 1979?])",Iowa Power and Light Company. Home Service Department.,Favorite Iowa recipes from Christmas past.,,PARKS General Collection,TX739.2 C45 F38x 1970z,TX739.2 C45 F38x 1970z,Item in place,Book,990018312810102756
"Book By Polk County Legal Secretaries Association (Des Moines, Iowa) (Waverly, Iowa : G & R Publishing Company, 1985?)","Des Moines, Iowa) (Waverly, Iowa : G & R Publishing Company, 1985?)",Polk County Legal Secretaries Association,"Polk County Legal Secretaries Association, Des Moines, Iowa : 20th anniversary, 1965-1985",[Polk County Legal Secretaries Association].,PARKS General Collection,TX715.2 M53 P67x 1985,1985,Item in place,Book,990018561840102756
"Book By Blue Flame Gas Industry of Iowa. ([Des Moines, Iowa] : [Iowa Blue Flame Gas Industry], [1970?])","[Des Moines, Iowa] : [Iowa Blue Flame Gas Industry], [1970?])",Blue Flame Gas Industry of Iowa.,Discover Iowa's fine food's with gas grills.,,PARKS General Collection,TX840 B3 D57x 1970,1970,Item in place,Book,990018909140102756
"Book By St. Wenceslaus Parish (Spillville, Iowa). Guild Cookbook Committee. (Spillville, Iowa : St. Wenceslaus Guild Cookbook Committee?, [1962?])","Spillville, Iowa). Guild Cookbook Committee. (Spillville, Iowa : St. Wenceslaus Guild Cookbook Committee?, [1962?])",St. Wenceslaus Parish,Let's eat home cooking,[St. Wenceslaus Guild Cookbook Committee],PARKS General Collection,TX715.2 M53 L48x 1962,1962,Item in place,Book,990014637300102756
"Book By Lions International. (Lake Mills, Iowa : Graphic Publishing Co., [1976])","Lake Mills, Iowa : Graphic Publishing Co., [1976])",Lions International.,Lions of Iowa cook book.,,PARKS General Collection,TX715.2 M53 L56x 1976,1976,Item in place,Book,990016170550102756
"Book By Ullensvang Lutheran Church (Thor, Iowa) (Fort Dodge, Iowa : Kepler Printing, 1978.)","Thor, Iowa) (Fort Dodge, Iowa : Kepler Printing, 1978.)",Ullensvang Lutheran Church,"Ullensvang Lutheran Church : Thor, Iowa.",,PARKS General Collection,TX715.2 M53 U45x 1978,1978,Item in place,Book,990016327220102756
"Book By St. John's United Church of Christ (Nashua, Iowa) (Waverly, Iowa : G & R Publishing, 2001.)","Nashua, Iowa) (Waverly, Iowa : G & R Publishing, 2001.)",St. John's United Church of Christ,"St. John's United Church of Christ, Nashua, Iowa.",,PARKS General Collection,TX715.2 M53 S2524x 2001,2001,Item in place,Book,990015773520102756
"Book By St. Edward's Catholic Church (Afton, Iowa). Altar and Rosary Society. ([Place of publication not identified]: [publisher not identified], [1972])","Afton, Iowa). Altar and Rosary Society. ([Place of publication not identified]: [publisher not identified], [1972])",St. Edward's Catholic Church,Our daily bread,"[Altar and Rosary Society, St. Edward's Catholic Church, Afton, Iowa]",PARKS General Collection,TX715.2 M53 O971x 1972,1972,Item in place,Book,990018561680102756
"Book By St. Mary's Catholic Church (Manchester, Iowa). Altar and Rosary Society. (Manchester, Iowa : Altar & Rosary Society, St Mary's Catholic Church, [between 1960 and 1969?])","Manchester, Iowa). Altar and Rosary Society. (Manchester, Iowa : Altar & Rosary Society, St Mary's Catholic Church, [between 1960 and 1969?])",St. Mary's Catholic Church,Favorite recipes,"by Altar & Rosary Society, St. Mary's Catholic Church.",PARKS General Collection,TX715.2 M53 F38 1960z,TX715.2 M53 F38 1960z,Item in place,Book,990015722360102756
"Book By Iowa 4-H Foundation. (Nashville, Tenn. : FRP, [1997])","Nashville, Tenn. : FRP, [1997])",Iowa 4-H Foundation.,Iowa : a taste of home.,,PARKS Spec Coll: Archives,TX715 I58 1997,1997,Item in place,Book,990014875550102756
"Book By Burkhart, Joetta. ([Orange City, Iowa] : [Pluim Pub.], [1987?])","[Orange City, Iowa] : [Pluim Pub.], [1987?])","Burkhart, Joetta.","Community Presbyterian Church, 1887-1987, Lawton, Iowa","[the Centennial Cookbook Committee, Joetta Burkhart ... [and others]].",PARKS General Collection,TX715.2 M53 C65422x 1987,1987,Item in place,Book,990015973800102756
"Book By Audubon High School (Audubon, Iowa) Wheeler Marching Band (Audubon, IA : Jumbo Jack's Cookbook Company, [date of publication not identified])","Audubon, Iowa) Wheeler Marching Band (Audubon, IA : Jumbo Jack's Cookbook Company, [date of publication not identified])",Audubon High School,Wheeler Band's treasured recipes,"[Wheeler Marching Band, Audubon High School, Audubon, Iowa, Cook Book Committee?]",PARKS General Collection,TX715.2 M53 W5352x,TX715.2 M53 W5352x,Item in place,Book,990017656620102756
"Book By St. Mark's United Methodist Church (Iowa City, Iowa). Cookbook Committee. (Waverly, Iowa : G & R Publishing Company, 1997.)","Iowa City, Iowa). Cookbook Committee. (Waverly, Iowa : G & R Publishing Company, 1997.)",St. Mark's United Methodist Church,The spice of life II : a selection of over 500 tried and true recipes,"St. Mark's United Methodist Church, Iowa City, Iowa, Cookbook Committee.",PARKS General Collection,TX715.2 M53 S6855x 1997,1997,Item in place,Book,990016273300102756
"Book By Hein, Peg. (Minnetonka, Minn. : Young Creations, [1982])","Minnetonka, Minn. : Young Creations, [1982])","Hein, Peg.",Recipes from Iowa with love,by Peg Hein and Kathryn Cramer ; illustrated by Kathryn Cramer.,PARKS General Collection,TX715.2 M53 H45x 1982,1982,Item in place,Book,990016374880102756
"Book By Iowa Farm Bureau. Women's Committee. (Deep River, Iowa : Brennan Printing, 1992.)","Deep River, Iowa : Brennan Printing, 1992.)",Iowa Farm Bureau. Women's Committee.,"Iowa Farm Bureau Women country cooking, 75 years",[Iowa Farm Bureau 1992 Women's Committee],PARKS General Collection,TX715.2 M53 I66x 1992,1992,Item in place,Book,990016425310102756
"Book ([Place of publication not identified] : [publisher not identified], [2010?])","[Place of publication not identified] : [publisher not identified], [2010?])",Book,Our family cookbook : sharing our heritage.,,PARKS Special Collections,TX715.2.M53 O969x,TX715.2.M53 O969x,Item in place,Book,9921482510302756
"Book By Pella Community Hospital Auxiliary (Pella, Iowa) (Waverly, IA : G & R Publishing Company, [1994])","Pella, Iowa) (Waverly, IA : G & R Publishing Company, [1994])",Pella Community Hospital Auxiliary,Pella Community Hospital cookbook,[illustrations by Arlene Van Zante].,PARKS Special Collections,TX715.2.M53 P453x 1994,1994,Item in place,Book,9921482509802756
"Book By Culver, Ann. (Cedar Rapids, Iowa : Culver for Congress Committee, [between 1965 and 1975].)","Cedar Rapids, Iowa : Culver for Congress Committee, [between 1965 and 1975].)","Culver, Ann.",The Ann Culver cook book,[compiled by Ann Culver].,PARKS Special Collections,TX715 C96266x 1965,1965,Item in place,Book,990017380040102756
"Book By Alpha Zeta. Wilson Chapter (Iowa State University) (Audubon, Iowa : Jumbo Jack's Cookbooks, 2009.)","Iowa State University) (Audubon, Iowa : Jumbo Jack's Cookbooks, 2009.)",Alpha Zeta. Wilson Chapter,Recipes from A to Z,"Alph Zeta, Wilson Chapter.",PARKS Spec Coll: Archives,TX715.2 M53 R454x 2009,2009,Item in place,Book,990017916330102756
"Book (Montgomery, Ala. : Favorite Recipes Press, [1964])","Montgomery, Ala. : Favorite Recipes Press, [1964])",Book,Favorite recipes of Iowa.,,PARKS General Collection,TX715.2 M53 F382x 1964,1964,Item in place,Book,990014635190102756
"Book By Carroll Chamber of Commerce (Iowa) ([Carroll, IA (P.O. Box 307, 223 West 5th Street, Carroll 51401)] : [Mail orders to Carroll Chamber of Commerce], [1994])","Iowa) ([Carroll, IA (P.O. Box 307, 223 West 5th Street, Carroll 51401)] : [Mail orders to Carroll Chamber of Commerce], [1994])",Carroll Chamber of Commerce,"A Christmas Carroll : have a Dickens of a time in the kitchen, Carroll, Iowa.",,PARKS General Collection,TX715.2 M53 C524x 1994,1994,Item in place,Book,990015905760102756
"Book By Immanuel Lutheran Church (Forest City, Iowa) (Forest City, IA (P.O. Box 290, Forest City 50436) : Mail orders to: WELCA, 1997.)","Forest City, Iowa) (Forest City, IA (P.O. Box 290, Forest City 50436) : Mail orders to: WELCA, 1997.)",Immanuel Lutheran Church,"Immanuel Lutheran Church : Forest City, Iowa.",,PARKS General Collection,TX715.2 M53 I46x 1997,1997,Item in place,Book,990015947430102756
"Book By Kopitzke, Helen. (Madrid, IA (1875 Peach Ave., Madrid 50201) : Iowa Arboretum, [1994 or 1995])","Madrid, IA (1875 Peach Ave., Madrid 50201) : Iowa Arboretum, [1994 or 1995])","Kopitzke, Helen.",It's thyme to cook,"[compiled by Iowa Arboretum's Cookbook Committee, Helen Kopitzke ... and others]",PARKS General Collection,TX715.2 M53 I87x 1994,1994,Item in place,Book,990016444370102756
"Book By Altrusa Club of Ames (Ames, Iowa) (Ames, Iowa : Altrusa Club of Ames?, [1995?])","Ames, Iowa) (Ames, Iowa : Altrusa Club of Ames?, [1995?])",Altrusa Club of Ames,Cooking up memories with the Altrusa Club of Ames.,,PARKS General Collection,TX715.2 M53 C6722x 1995,1995,Item in place,Book,990015734700102756
"Book (Louisville, Ky. : Favorite Recipes Press, [1966])","Louisville, Ky. : Favorite Recipes Press, [1966])",Book,"Favorite recipes of Iowa : meats edition, including poultry and seafood.",,PARKS Special Collections,TX715.2 M53 F3854x 1966,1966,Item in place,Book,990016727260102756
"Book By Miller, Jeannette L. (West Des Moines, Iowa : Iowa Affiliate of the American Heart Association, [1985])","West Des Moines, Iowa : Iowa Affiliate of the American Heart Association, [1985])","Miller, Jeannette L.",The healthy holiday cookbook,by Jeannette L. Miller and Carol Van Waardhuizen.,PARKS General Collection,RC684 D5 M55x 1985,1985,Item in place,Book,990017365510102756
"Book By Baxter Pride (Iowa). (Audubon, Iowa : Jumbo Jack's Cookbooks, 1996.)","Iowa). (Audubon, Iowa : Jumbo Jack's Cookbooks, 1996.)",Baxter Pride,"Cooking with pride, Iowa sesquicentennial 1996","[Baxter Pride], Baxter, Iowa.",PARKS General Collection,TX715.2 M53 C6724x 1996,1996,Item in place,Book,990016156370102756
"Book By Trinity Reformed Church (Pella, Iowa) (Audubon, Iowa : Jumbo Jack's Cookbooks, 2003.)","Pella, Iowa) (Audubon, Iowa : Jumbo Jack's Cookbooks, 2003.)",Trinity Reformed Church,"50th anniversary 1953-2003, Trinity Reformed Church, Pella, Iowa.",,PARKS General Collection,TX715.2 M53 A13x 2003,2003,Item in place,Book,990014932590102756
"Book By Walnut (Iowa). Centennial Cookbook Committee. (Iowa Falls, Iowa : General Publishing and Binding, 1970.)","Iowa). Centennial Cookbook Committee. (Iowa Falls, Iowa : General Publishing and Binding, 1970.)",Walnut,Walnut centennial cook book,[Walnut Centennial Cookbook Committee].,PARKS General Collection,TX715.2 M53 W355x 1970,1970,Item in place,Book,990016304750102756
"Book By Woody, Laurie, (Des Moines, Iowa : Pioneer Hi-Bred International, [1986])","Des Moines, Iowa : Pioneer Hi-Bred International, [1986])","Woody, Laurie,",Corn-of-plenty cookbook,Laurie Woody.,PARKS Special Collections,TX809 M2 W665x 1986,1986,Item in place,Book,9920511089602756
"Book By Canter, Miriam. (Iowa City, Iowa : Penfield Press, [1996?])","Iowa City, Iowa : Penfield Press, [1996?])","Canter, Miriam.",License to cook Iowa style : tasty recipes for Iowa foods,edited by Miriam Canter ... [and others].,PARKS Miniature: Ask at Main Desk,TX715.2 M53 L53x 1996,1996,Item in place,Book,990014652240102756
"Book By St. Olaf Lutheran Church (Bode, Iowa) (Iowa Falls, Iowa : General Publishing & Binding, [1995?])","Bode, Iowa) (Iowa Falls, Iowa : General Publishing & Binding, [1995?])",St. Olaf Lutheran Church,"1870-1995 quasquicentennial, Bode, Iowa : good recipes",St. Olaf Lutheran Church.,PARKS General Collection,TX715.2 M53 A15x 1995,1995,Item in place,Book,990014746570102756
"Book By Pella Christian Grade School Mother's Club (Pella, Iowa). (Audubon, Iowa : Jumbo Jack's Cookbooks, 1997.)","Pella, Iowa). (Audubon, Iowa : Jumbo Jack's Cookbooks, 1997.)",Pella Christian Grade School Mother's Club,A Collection of family favorites,Pella Christian Grade School Mothers' Club.,PARKS General Collection,TX715.2 M53 C6512x 1997,1997,Item in place,Book,990016278380102756
"Book By MacGregor, Ann. ([Amana, Iowa] : Amana Refrigeration, Inc., [1953])","[Amana, Iowa] : Amana Refrigeration, Inc., [1953])","MacGregor, Ann.",Amana frozen food cook book,by Ann MacGregor.,PARKS Special Collections,TX828 M33x 1953,1953,Item in place,Book,990017380490102756
"Book By Iowa Federation of Women's Clubs. (Lake Mills, Iowa : Graphic Publishing Co., 1978?)","Lake Mills, Iowa : Graphic Publishing Co., 1978?)",Iowa Federation of Women's Clubs.,"Cook book of the Iowa Federation of Women's Clubs, 1976-1978",[Iowa Federation of Women's Clubs].,PARKS General Collection,TX715.2 M53 C6663x 1978,1978,Item in place,Book,990016437570102756
"Book By Koss, Jean. ([Des Moines, Iowa] : Iowa State Fair Board, [1996])","[Des Moines, Iowa] : Iowa State Fair Board, [1996])","Koss, Jean.",History in the baking : recipes from the Iowa State Fair,"[editors, Jean Koss, Marge Steenson, Kathie Swift].",PARKS General Collection,TX715 H57x 1996,1996,Item in place,Book,990017895850102756
"Book By Crowley, Ann M. (Iowa City, IA : Crowley's Creations, 2005.)","Iowa City, IA : Crowley's Creations, 2005.)","Crowley, Ann M.",Favorite recipes from Iowa's bed & breakfasts,Ann M. Crowley.,PARKS General Collection,TX715.2 M53 C76x 2005,2005,Item in place,Book,990016188080102756
"Book By Marshalltown Women's Bowling Association (Marshalltown, Iowa) (Audubon, IA : Jumbo Jack's, 1990.)","Marshalltown, Iowa) (Audubon, IA : Jumbo Jack's, 1990.)",Marshalltown Women's Bowling Association,Favorite recipes of the Marshalltown Women's Bowling Association members.,,PARKS General Collection,TX715.2 M53 F3862x 1990,1990,Item in place,Book,990017699640102756
"Book By Rembrandt Area Craft Club (Rembrandt, Iowa) (Sioux Rapids, Iowa : Soo Printing, 1999.)","Rembrandt, Iowa) (Sioux Rapids, Iowa : Soo Printing, 1999.)",Rembrandt Area Craft Club,"Batter's up! [Rembrandt Area Craft Club, Buena Vista County, Iowa]",,PARKS General Collection,TX715.2 M53 B38x 1999,1999,Item in place,Book,990016213990102756
"Book (Iowa Falls, Iowa : General Publishing and Binding, 1965.)","Iowa Falls, Iowa : General Publishing and Binding, 1965.)",Book,"The best in cooking, Rubio, Iowa.",,PARKS Special Collections,TX715.2 M53 B472x 1965,1965,Item in place,Book,990015230660102756
"Book By Blanchard United Methodist Church (Blanchard, Iowa). (Kearney, Neb. : Cookbooks by Morris Press, [1999])","Blanchard, Iowa). (Kearney, Neb. : Cookbooks by Morris Press, [1999])",Blanchard United Methodist Church,Ladies of the church : a collection of recipes,by Blanchard United Methodist Church.,PARKS General Collection,TX715.2 M53 L335x 1999,1999,Item in place,Book,990016301230102756
"Book By Vilsack, Christie. (Des Moines, Iowa : Terrace Hill Society, [2000])","Des Moines, Iowa : Terrace Hill Society, [2000])","Vilsack, Christie.",Fresh from Terrace Hill.,,PARKS General Collection,TX715 F74x 2000,2000,Item in place,Book,990012916700102756
"Book ([Place of publication not identified] : The Gazette, [1983?])","[Place of publication not identified] : The Gazette, [1983?])",Book,What's cookin' in Eastern Iowa : favorite recipes from area cooks.,,PARKS General Collection,TX715.2 M53 W5324x 1983,1983,Item in place,Book,990015723830102756
"Book By Iowa Power and Light Company. ([Des Moines, Iowa] : Iowa Power, [between 1970 and 1979?])","[Des Moines, Iowa] : Iowa Power, [between 1970 and 1979?])",Iowa Power and Light Company.,Award winning Christmas recipes from Iowa Power employees.,,PARKS General Collection,TX739.2 C45 A93x 1970z,TX739.2 C45 A93x 1970z,Item in place,Book,990018312870102756
"Book (Waverly, Iowa : G & R Publishing, [2002])","Waverly, Iowa : G & R Publishing, [2002])",Book,The Kleitsch collection,"Mary Ann Kleitsch, Susan Shannon.",PARKS General Collection,TX715.2 M53 K59x 2002,2002,Item in place,Book,990016167130102756
"Book By Bethany Manor Auxiliary Committee (Story City, Iowa). (Iowa Falls, Iowa : General Publishing and Binding, 1977.)","Story City, Iowa). (Iowa Falls, Iowa : General Publishing and Binding, 1977.)",Bethany Manor Auxiliary Committee,"Bethany Manor favorites, Story City, Iowa",[Bethany Manor Auxiliary Committee],PARKS General Collection,TX715.2 M53 B48x 1977,1977,Item in place,Book,990018656150102756
"Book By Iowa State Fair. (Des Moines, Iowa : Iowa State Fair, [1984?])","Des Moines, Iowa : Iowa State Fair, [1984?])",Iowa State Fair.,Iowa State Fair prize-winning recipes,[Iowa State Fair],PARKS General Collection,TX715.2 M53 I6923x 1984,1984,Item in place,Book,990016010110102756
"Book (Burt, Iowa : Exceptional Opportunities, 1998.)","Burt, Iowa : Exceptional Opportunities, 1998.)",Book,Country cooking from the heart of Iowa.,,PARKS General Collection,TX715.2 M53 C6822x 1998,1998,Item in place,Book,990015977930102756
"Book By Good Hope Lutheran Church (Titonka, Iowa). Cookbook Committee. (Audubon, Iowa : Jumbo Jack's Cookbooks, [1999?])","Titonka, Iowa). Cookbook Committee. (Audubon, Iowa : Jumbo Jack's Cookbooks, [1999?])",Good Hope Lutheran Church,Good Hope Lutheran centennial cookbook : 1900-2000,[Good Hope Lutheran Church Cookbook Committee?],PARKS General Collection,TX715.2 M53 G6623x 1999,1999,Item in place,Book,990016221130102756
"Book ([Place of publication not identified] : [publisher not identified], [1998])","[Place of publication not identified] : [publisher not identified], [1998])",Book,Downhome desserts from the heart of Iowa,"[Exceptional Opportunities, Inc., Burt, Iowa].",PARKS General Collection,TX773 D69x 1998,1998,Item in place,Book,990016432060102756
"Book By Municipal Hospital Auxiliary (Clarinda, Iowa). (Kansas City, Kansas : Bev - Ron Publishing Company, [1970])","Clarinda, Iowa). (Kansas City, Kansas : Bev - Ron Publishing Company, [1970])",Municipal Hospital Auxiliary,"What's cookin' in Clarinda, Iowa",compiled by the Municipal Hospital Auxiliary.,PARKS Special Collections,TX715.2 M53 W53215x 1970,1970,Item in place,Book,9920641084502756
"Book By St. Elizabeth's Altar and Rosary Society (Harper, Iowa) (Marceline, Mo. : Walsworth Brothers, 1953.)","Harper, Iowa) (Marceline, Mo. : Walsworth Brothers, 1953.)",St. Elizabeth's Altar and Rosary Society,"What's cookin' in Harper, Iowa","compiled by St. Elizabeth's Ladies, Harper, Iowa.",PARKS Special Collections,TX715.2 M53 W532x 1953,1953,Item in place,Book,990014986000102756
"Book By Friendship Force Club (Iowa). ([Iowa] : Friendship Force Club?, [between 1980 and 1989])","Iowa). ([Iowa] : Friendship Force Club?, [between 1980 and 1989])",Friendship Force Club,"Sprinklings : a collection, Friendship Force favorites","[Friendship Force Club, Iowa]",PARKS General Collection,TX715.2 M53 S69x 1980,1980,Item in place,Book,990016213970102756
