Year Built,Basement Area (sqft),Living Area (sqft),Total Room,Garage Cars,Yr Sold,SalePrice,Garage,Age (years)
1956,1050,1050,5,1,2009,128900,S,53
1950,856,1668,6,1,2009,140000,S,59
1950,1113,1113,5,1,2009,147000,S,59
1967,1584,1584,8,3,2009,124000,L,42
1961,1453,1453,6,2,2009,187500,L,48
1963,1394,1394,6,2,2009,159000,L,46
1966,1562,1567,5,2,2009,256000,L,43
1965,768,1986,7,2,2009,205000,L,44
1968,896,2142,8,1,2009,193500,S,41
1968,1392,1392,5,2,2009,110000,L,41
1920,715,1738,7,1,2009,104900,S,89
1956,1169,1144,6,1,2009,150000,S,53
1957,1478,1478,6,2,2009,156500,L,52
1960,1329,1329,5,2,2009,176000,L,49
1959,988,988,6,1,2009,149500,S,50
1958,1240,1632,6,1,2009,139000,S,51
1958,1215,1215,6,1,2009,155000,S,51
1956,1202,1202,6,1,2009,120000,S,53
1955,1382,1382,6,1,2009,153000,S,54
1956,1200,1200,6,1,2009,144000,S,53
1962,1362,1382,6,2,2009,176000,L,47
1954,1297,1297,5,2,2009,153000,L,55
1958,1866,1866,8,2,2009,135000,L,51
1954,1062,1062,6,1,2009,131000,S,55
1953,608,1319,5,1,2009,123000,S,56
1951,631,1112,5,2,2009,126000,L,58
1955,1005,1005,5,2,2009,115000,L,54
1951,1008,1363,6,1,2009,164900,S,58
1945,793,793,4,1,2009,113000,S,64
1952,1031,1031,5,1,2009,145500,S,57
1953,0,1210,7,1,2009,102900,S,56
1900,978,1699,7,2,2009,95000,L,109
1948,699,1527,6,2,2009,152500,L,61
1950,1200,1200,6,1,2009,129900,S,59
1948,972,972,5,1,2009,132000,S,61
1958,792,792,4,1,2009,99900,S,51
1916,660,1656,8,1,2009,135000,S,93
1939,676,1352,7,2,2009,149000,L,70
1900,405,1039,6,1,2009,114000,S,109
1924,768,792,5,1,2009,109500,S,85
1925,1054,1078,6,1,2009,125000,S,84
1915,1313,2377,8,2,2009,142900,L,94
1910,560,1690,5,2,2009,156500,L,99
1940,416,599,4,0,2009,59000,S,69
1920,840,1374,6,1,2009,105000,S,89
1920,720,846,4,2,2009,106000,L,89
1890,630,725,4,1,2009,78500,S,119
1969,1248,2544,12,3,2009,190000,L,40
1963,1380,1380,6,1,2009,154000,S,46
1967,1040,1040,6,2,2009,163000,L,42
1969,1248,2634,12,4,2009,200000,L,40
1958,951,951,6,2,2009,143500,L,51
1957,1105,1105,5,1,2009,135000,S,52
1957,992,1306,5,1,2009,153000,S,52
1960,1478,1478,6,2,2009,157500,L,49
1958,160,1142,5,1,2009,113500,S,51
1949,832,1268,6,1,2009,133000,S,60
1950,0,1040,6,2,2009,92900,L,59
1950,795,1133,5,2,2009,128500,L,59
1949,0,1040,6,2,2009,90000,L,60
1950,1208,1904,7,1,2009,138000,S,59
1958,1041,1041,6,1,2009,128000,S,51
1958,1029,1339,6,1,2009,139000,S,51
1952,732,732,4,1,2009,118900,S,57
1959,528,1183,6,1,2009,138000,S,50
1959,1148,1148,6,1,2009,132500,S,50
1949,832,1461,6,1,2009,133500,S,60
1948,864,1495,6,2,2009,135000,L,61
1964,780,1806,8,2,2009,144750,L,45
1978,941,941,4,2,2009,145000,L,31
1963,1045,1045,6,1,2009,127000,S,46
1962,894,894,5,1,2009,109500,S,47
1926,818,1224,5,1,2009,115000,S,83
1910,440,1230,5,2,2009,110000,L,99
1935,901,1378,6,1,2009,128900,S,74
1910,972,1944,12,2,2009,103500,L,99
1941,676,1131,5,1,2009,66500,S,68
1910,240,1306,6,2,2009,130000,L,99
1910,504,1464,7,0,2009,129000,S,99
1939,690,1558,7,2,2009,150000,L,70
1892,994,2372,11,1,2009,107500,S,117
1920,600,1701,8,0,2009,94550,S,89
1952,960,1960,10,2,2009,124500,L,57
1946,651,1389,6,1,2009,135000,S,63
1910,801,1447,6,0,2009,103000,S,99
1953,936,936,4,2,2009,93000,L,56
1950,768,1328,6,1,2009,129500,S,59
1954,811,1387,7,1,2009,93000,S,55
1920,861,861,5,2,2009,80000,L,89
1940,0,612,4,1,2009,45000,S,69
1910,600,968,6,0,2009,37900,S,99
1938,190,886,4,1,2009,91300,S,71
1923,624,792,5,1,2009,99500,S,86
1920,736,1452,8,0,2009,113000,S,89
1910,677,1510,7,2,2009,87500,L,99
1947,720,1284,5,1,2009,110000,S,62
1898,849,2138,11,2,2009,106000,L,111
1880,1240,2640,8,4,2009,265979,L,129
1900,917,2007,8,1,2009,160000,S,109
1917,624,1288,5,1,2009,119000,S,92
1882,916,1742,8,2,2009,168000,L,127
1910,624,816,5,0,2009,58500,S,99
1920,650,1482,7,2,2009,143000,L,89
1910,1022,1022,4,1,2009,85000,S,99
1890,1088,1869,7,2,2009,124900,L,119
1920,972,1480,6,1,2009,119000,S,89
1910,741,1521,8,3,2009,146500,L,99
1920,720,720,4,0,2009,34900,S,89
1900,245,797,5,0,2009,44000,S,109
1923,1324,1576,6,2,2009,223500,L,86
1923,1022,1432,6,1,2009,149000,S,86
1925,952,1548,5,2,2009,205000,L,84
1930,297,1654,7,1,2009,137000,S,79
1916,952,952,4,1,2009,121000,S,93
1936,672,1324,6,1,2009,128000,S,73
1937,698,1176,4,2,2009,134900,L,72
1925,884,1348,5,1,2009,117000,S,84
1939,780,1412,6,1,2009,132500,S,70
1924,468,1142,6,1,2009,93000,S,85
1926,884,904,4,1,2009,119000,S,83
1924,1145,1301,5,2,2009,100000,L,85
1936,927,1539,5,2,2009,141500,L,73
1935,884,1573,6,1,2009,133000,S,74
1936,264,800,4,0,2009,60000,S,73
1931,715,875,5,1,2009,105000,S,78
1925,960,995,5,1,2009,115000,S,84
1938,952,1582,6,1,2009,150000,S,71
1925,1072,1072,5,5,2009,126500,L,84
1916,844,2134,10,2,2009,214500,L,93
1910,728,2019,8,2,2009,167500,L,99
1915,1048,1768,8,2,2009,155000,L,94
1915,910,1826,7,1,2009,155000,S,94
1915,672,1944,8,1,2009,179900,S,94
1912,755,2229,8,0,2009,104000,S,97
1922,1040,2128,11,0,2009,62500,S,87
1927,720,1930,8,1,2009,149000,S,82
1925,780,1208,5,2,2009,103000,L,84
1915,483,1427,7,1,2009,123000,S,94
1902,1020,1864,9,0,2009,97500,S,107
1927,1204,1666,4,1,2009,135000,S,82
1923,858,892,5,0,2009,70000,S,86
1915,698,1403,7,1,2009,116000,S,94
1946,560,704,4,1,2009,88750,S,63
1987,1200,1200,5,0,2009,179000,S,22
1987,1200,1200,5,0,2009,179000,S,22
1978,1152,1152,6,1,2009,159900,S,31
1922,683,904,4,0,2009,61000,S,87
1925,672,1369,6,1,2009,103600,S,84
1934,585,1112,6,1,2009,63000,S,75
1963,520,1464,6,2,2009,175000,L,46
1963,1121,1121,5,2,2009,139000,L,46
1978,918,1683,7,2,2009,172500,L,31
1967,1052,1052,6,1,2009,113500,S,42
1967,864,899,5,1,2009,130000,S,42
1978,456,1034,5,2,2009,149900,L,31
1982,858,858,5,2,2009,134900,L,27
1982,840,860,4,2,2009,137000,L,27
1962,1092,1092,6,1,2009,139000,S,47
1961,552,1774,8,1,2009,165000,S,48
1960,1138,1138,6,2,2009,148000,L,49
1956,825,2071,9,1,2009,165000,S,53
1947,0,660,5,0,2009,63900,S,62
1957,1104,1788,8,1,2009,161500,S,52
1968,1437,1473,5,1,2009,143000,S,41
1956,1134,1229,6,1,2009,135000,S,53
1940,861,861,4,2,2009,82500,L,69
1955,1617,1867,7,1,2009,190000,S,54
1955,0,1733,8,2,2009,139600,L,54
1954,0,1383,6,2,2009,122000,L,55
1956,1436,1689,7,2,2009,127500,L,53
1956,1073,1073,5,1,2009,121500,S,53
1958,1276,1276,5,1,2009,60000,S,51
1946,747,1639,6,1,2009,154400,S,63
1941,672,672,4,1,2009,113000,S,68
1954,1089,1089,5,1,2009,125000,S,55
1957,0,845,5,1,2009,84000,S,52
1984,1049,1049,5,1,2009,139500,S,25
1949,768,1716,8,1,2009,131000,S,60
1939,560,1258,6,1,2009,105000,S,70
1940,755,1510,7,1,2009,108000,S,69
1990,1054,1061,4,2,2009,162000,L,19
1983,520,1338,5,2,2009,156500,L,26
1983,1496,2132,5,2,2009,316600,L,26
1990,2158,2196,7,3,2009,271900,L,19
1993,740,1775,7,2,2009,213000,L,16
1993,1079,1879,8,2,2009,239900,L,16
1995,1128,2020,8,2,2009,239500,L,14
1880,0,2016,7,2,2009,131000,L,129
1979,0,1535,8,2,2009,118964,L,30
1979,1086,1224,6,2,2009,153337,L,30
1979,0,2228,8,2,2009,147983,L,30
1979,0,1535,8,2,2009,118858,L,30
1979,0,1535,8,2,2009,118858,L,30
1979,0,2240,12,2,2009,142953,L,30
1979,1094,1229,6,2,2009,148325,L,30
1979,0,1513,8,2,2009,113722,L,30
2000,1168,2787,8,4,2009,269500,L,9
2000,1168,2787,8,4,2009,269500,L,9
2000,1168,2787,8,4,2009,269500,L,9
2009,1555,1680,8,3,2009,323262,L,0
2007,1705,1718,7,3,2009,297000,L,2
2008,1622,1630,8,3,2009,295493,L,1
2008,1720,1720,8,3,2009,332000,L,1
2008,1468,1468,6,3,2009,239900,L,1
2007,866,1768,7,2,2009,212000,L,2
2007,1838,1838,7,2,2009,272500,L,2
2007,1800,1800,7,2,2009,239000,L,2
2006,1604,1604,8,2,2009,220000,L,3
2007,1282,1290,6,2,2009,200000,L,2
2008,1254,1254,5,3,2009,221800,L,1
2007,1232,1232,6,2,2009,194500,L,2
2005,1498,1498,7,3,2009,237000,L,4
2005,704,1422,7,2,2009,173000,L,4
1989,1518,1644,5,2,2009,275000,L,20
1992,1449,1759,7,2,2009,233500,L,17
1967,1013,2126,7,2,2009,185000,L,42
1996,1040,1040,6,2,2009,152000,L,13
1994,990,990,5,1,2009,143000,S,15
1997,928,1764,7,2,2009,231500,L,12
1996,799,1661,6,2,2009,212000,L,13
1998,1463,1463,5,2,2009,207000,L,11
1994,1097,1097,6,2,2009,145000,L,15
1994,990,990,5,2,2009,138000,L,15
1998,866,1779,6,2,2009,197900,L,11
1999,1490,1501,6,2,2009,204000,L,10
1999,1431,1431,6,2,2009,192000,L,10
1998,928,1772,7,2,2009,200000,L,11
2002,831,1660,7,2,2009,195000,L,7
2002,1573,1573,6,2,2009,227000,L,7
2001,944,1840,6,2,2009,230000,L,8
2001,1413,1430,6,2,2009,187100,L,8
2002,1431,1444,6,2,2009,203000,L,7
2001,1492,1492,6,2,2009,201000,L,8
1978,1040,1040,5,0,2009,124000,S,31
1978,907,907,5,1,2009,140000,S,31
1979,914,914,5,2,2009,134900,L,30
1977,1040,1040,5,2,2009,150500,L,32
1978,864,864,6,1,2009,136500,S,31
1977,1268,1268,5,1,2009,143500,S,32
1972,864,864,5,1,2009,133500,S,37
1972,894,894,6,2,2009,123000,L,37
1972,768,768,5,1,2009,133900,S,37
1972,768,768,5,2,2009,133000,L,37
2002,1569,1611,6,3,2009,250000,L,7
2003,1068,2184,8,2,2009,254750,L,6
2001,1753,1788,7,2,2009,236500,L,8
2001,1299,1872,7,2,2009,261500,L,8
2000,1440,2153,8,3,2009,313000,L,9
2002,840,1725,6,2,2009,198500,L,7
2001,944,1870,6,2,2009,211000,L,8
1999,1462,1513,5,2,2009,220000,L,10
1996,1504,1504,6,2,2009,203000,L,13
2002,1822,1828,7,2,2009,279500,L,7
1997,1417,1417,7,2,2009,210000,L,12
1997,1057,2034,8,2,2009,219500,L,12
1996,880,1716,7,2,2009,191000,L,13
2001,1212,1212,6,2,2009,178000,L,8
2000,1630,1630,6,2,2009,213000,L,9
2003,848,848,4,2,2009,144000,L,6
2003,848,848,4,2,2009,140000,L,6
2007,1578,1602,7,3,2009,293200,L,2
2004,864,1728,7,2,2009,190000,L,5
2004,1500,1500,6,2,2009,190000,L,5
2005,738,1476,7,2,2009,173500,L,4
2007,608,1396,6,2,2009,170000,L,2
1949,0,1126,5,2,2009,108000,L,60
1964,1486,1486,7,2,2009,167000,L,45
1938,816,816,3,1,2009,100000,S,71
2003,0,1922,7,2,2009,198500,L,6
1977,690,1426,6,2,2009,159500,L,32
1960,1014,1149,7,1,2009,127000,S,49
1976,1041,1125,6,1,2009,125000,S,33
2007,1698,1698,8,3,2009,320000,L,2
2005,547,1072,5,2,2009,145500,L,4
1947,698,698,4,0,2009,118000,S,62
1959,876,876,5,1,2009,85000,S,50
1950,1078,1368,6,1,2009,120000,S,59
1945,0,1529,9,1,2009,98000,S,64
1922,864,864,4,0,2009,99900,S,87
1952,0,944,4,2,2009,82000,L,57
1959,1678,1678,10,0,2009,119900,S,50
1956,1150,1560,7,1,2009,103500,S,53
1956,672,960,5,1,2009,112000,S,53
1920,684,1196,7,2,2009,110000,L,89
1941,720,1298,6,1,2009,122000,S,68
1941,984,1604,6,2,2009,117000,L,68
1938,832,1268,7,1,2009,160000,S,71
1932,793,1520,6,1,2009,159434,S,77
1920,290,438,3,1,2009,60000,S,89
1940,778,1489,7,1,2009,139500,S,69
1920,824,3082,12,2,2009,197000,L,89
1935,583,1242,6,1,2009,105000,S,74
1928,1122,1981,7,2,2009,135000,L,81
1916,816,1232,6,2,2009,147500,L,93
1925,976,1608,7,1,2009,137450,S,84
1936,560,1135,6,2,2009,155000,L,73
1928,896,1913,9,2,2009,177000,L,81
1928,861,1477,6,1,2009,145000,S,81
1918,600,1228,6,1,2009,137000,S,91
1926,1276,2080,9,1,2009,234000,S,83
1940,840,1567,6,2,2009,205000,L,69
1942,771,1494,7,1,2009,177500,S,67
1940,728,1308,7,1,2009,160000,S,69
1960,1273,1273,5,1,2009,155000,S,49
1921,876,964,5,2,2009,163500,L,88
1921,731,1343,7,1,2009,154900,S,88
1954,1112,1112,6,1,2009,144800,S,55
1941,704,1564,7,1,2009,174500,S,68
1960,1561,1561,6,2,2009,193000,L,49
1949,1067,1523,7,1,2009,158000,S,60
1950,1092,1152,6,1,2009,158500,S,59
1954,1310,1906,6,2,2009,224000,L,55
1980,516,1032,5,2,2009,115000,L,29
1980,561,1229,5,2,2009,137000,L,29
1980,561,1229,5,2,2009,121000,L,29
1980,561,1229,5,2,2009,124000,L,29
1986,572,1982,6,2,2009,208000,L,23
1971,1803,2365,7,2,2009,315000,L,38
1988,880,1680,5,2,2009,222000,L,21
1920,672,1344,6,1,2009,147000,S,89
1900,760,2168,11,2,2009,123000,L,109
1920,596,1192,6,1,2009,78000,S,89
1915,1013,1526,6,0,2009,85000,S,94
1925,572,572,4,1,2009,75000,S,84
2007,1596,1648,5,2,2009,230000,L,2
1910,0,810,4,1,2009,57625,S,99
2000,1107,2052,7,3,2009,251000,L,9
2003,1434,2149,6,2,2009,239686,L,6
2004,1710,1710,7,2,2009,240000,L,5
2001,804,1961,7,2,2009,215000,L,8
1977,902,926,5,1,2009,156450,S,32
1977,957,1287,5,2,2009,173000,L,32
1977,0,1734,8,2,2009,126000,L,32
1990,1188,1217,6,2,2009,173000,L,19
1991,1582,1595,5,2,2009,152000,L,18
1958,819,1344,7,2,2009,137500,L,51
1965,2136,2036,8,2,2009,375000,L,44
2007,1620,1620,6,3,2009,315500,L,2
2009,846,1692,6,2,2009,224500,L,0
2008,2190,2036,9,3,2009,410000,L,1
2008,1641,1641,7,3,2009,316500,L,1
2007,1466,1466,7,3,2009,201000,L,2
1988,1392,1412,6,2,2009,175000,L,21
1980,712,2237,7,2,2009,204000,L,29
1987,1645,1479,7,2,2009,213500,L,22
2001,1267,1296,6,2,2009,220000,L,8
2003,912,2014,9,2,2009,170000,L,6
2006,1838,1838,8,3,2009,315000,L,3
2007,1978,1978,7,3,2009,425000,L,2
1968,1008,1008,6,1,2009,139500,S,41
1960,0,1771,9,2,2009,115000,L,49
1998,1204,1204,5,2,2009,162000,L,11
1999,1224,1224,5,2,2009,165000,L,10
1973,462,988,5,1,2009,91000,S,36
1968,864,874,5,1,2009,130000,S,41
1970,630,630,3,1,2009,86000,S,39
1969,1188,1404,7,2,2009,160000,L,40
1970,630,630,3,1,2009,80000,S,39
1970,546,1344,6,0,2009,97000,S,39
1970,546,1092,6,1,2009,88000,S,39
1972,796,796,4,1,2009,131900,S,37
1993,384,1091,5,1,2009,131250,S,16
1978,1097,1110,4,2,2009,165500,L,31
1985,833,833,5,0,2009,112000,S,24
1992,828,883,5,2,2009,149000,L,17
1993,796,1362,5,2,2009,143000,L,16
1992,624,1287,6,2,2009,130000,L,17
1977,1567,1567,5,2,2009,196000,L,32
1969,784,1632,7,2,2009,173000,L,40
1958,1184,1414,6,2,2008,176500,L,50
1970,1205,2117,7,2,2008,237500,L,38
1969,952,2112,9,2,2008,206900,L,39
1997,926,1604,7,2,2008,187500,L,11
1995,680,1470,7,2,2008,165000,L,13
1998,926,1604,7,2,2008,195500,L,10
1998,943,1638,7,2,2008,192000,L,10
1996,916,1636,7,2,2008,173000,L,12
1996,1348,1384,7,2,2008,177900,L,12
1996,729,1446,6,2,2008,175000,L,12
2001,1593,1593,5,2,2008,286000,L,7
1997,1664,1682,6,2,2008,247900,L,11
1993,1337,1337,5,2,2008,180000,L,15
1992,1280,1280,5,2,2008,180000,L,16
1997,926,1604,7,2,2008,181000,L,11
1998,932,1633,7,2,2008,183000,L,10
1995,773,1658,8,2,2008,188000,L,13
1994,712,1895,7,2,2008,194500,L,14
1991,836,1709,7,2,2008,185000,L,17
1988,1228,1228,5,2,2008,189000,L,20
1989,1337,1337,5,2,2008,188500,L,19
2005,1168,2500,9,3,2008,355000,L,3
2005,1122,2504,11,3,2008,325000,L,3
2004,1884,1884,7,3,2008,387000,L,4
1952,1632,1474,7,2,2008,115000,L,56
2007,1710,1710,6,2,2008,334000,L,1
1950,1488,1488,6,2,2008,133000,L,58
1986,791,2093,7,2,2008,215000,L,22
1988,1675,1688,6,2,2008,226500,L,20
1981,1422,1422,7,2,2008,175500,L,27
1983,1260,1260,6,2,2008,181900,L,25
1978,2048,2064,7,2,2008,235000,L,30
1979,1782,1782,6,2,2008,220000,L,29
1977,1330,2872,11,2,2008,272000,L,31
1976,1211,1211,6,2,2008,161000,L,32
1977,1126,1126,6,2,2008,175000,L,31
1980,738,2044,7,2,2008,185000,L,28
1969,720,1308,7,2,2008,146900,L,39
1978,1420,2840,8,4,2008,292500,L,30
1976,1193,1523,7,2,2008,180000,L,32
1976,1444,1444,5,2,2008,159900,L,32
1976,803,1964,8,2,2008,205000,L,32
1973,1176,1178,5,2,2008,157000,L,35
1996,1236,2340,9,3,2008,306000,L,12
1974,896,1792,8,2,2008,133000,L,34
1969,1054,1054,6,2,2008,151000,L,39
1969,936,936,4,1,2008,111900,S,39
1971,864,864,5,2,2008,123000,L,37
1972,864,864,5,2,2008,111250,L,36
1998,1405,1337,5,2,2008,181000,L,10
1973,483,987,5,1,2008,103400,S,35
1973,483,987,5,1,2008,100000,S,35
1972,483,987,5,1,2008,100500,S,36
1970,483,987,5,1,2008,106000,S,38
1971,483,987,4,1,2008,85400,S,37
1971,483,987,5,1,2008,89500,S,37
1972,630,1302,6,1,2008,111750,S,36
1977,1069,1069,4,2,2008,140000,L,31
1975,855,1456,7,2,2008,143000,L,33
1977,1055,1055,4,2,2008,148500,L,31
1966,864,892,5,1,2008,110000,S,42
2008,1932,1932,7,3,2008,394617,L,0
2007,1682,2332,9,3,2008,426000,L,1
2007,2078,2084,7,3,2008,385000,L,1
2008,1452,2713,11,3,2008,446261,L,0
2007,1582,1582,7,3,2008,317500,L,1
2007,1710,1710,6,3,2008,372402,L,1
2007,2418,2464,9,3,2008,417500,L,1
2007,1950,1950,7,3,2008,383000,L,1
2006,1850,2748,9,3,2008,390000,L,2
2005,1620,2790,10,4,2008,460000,L,3
2005,1414,2331,9,3,2008,379000,L,3
2007,948,2088,10,3,2008,250000,L,1
2004,1148,2332,9,3,2008,316000,L,4
2003,2535,2470,7,3,2008,615000,L,5
2003,1572,2668,10,3,2008,412500,L,5
2003,998,2046,8,3,2008,284000,L,5
2003,1603,1575,7,3,2008,284000,L,5
2001,1479,2649,10,3,2008,421250,L,7
2003,1765,2690,9,3,2008,370000,L,5
2008,1858,1866,7,3,2008,336860,L,0
2008,1702,1702,7,3,2008,367294,L,0
2005,1367,1367,6,2,2008,192000,L,3
2003,1518,1518,6,2,2008,274000,L,5
2005,1684,1684,6,2,2008,266000,L,3
2007,1800,1800,6,3,2008,370967,L,1
2006,1342,1342,6,2,2008,234250,L,2
2006,1342,1342,6,2,2008,219500,L,2
2003,764,1626,6,2,2008,155000,L,5
2003,764,1626,6,2,2008,154000,L,5
2004,1358,1358,6,2,2008,207000,L,4
2003,1415,1455,6,3,2008,195000,L,5
2004,1393,1576,7,3,2008,219990,L,4
2005,1346,1504,7,2,2008,191000,L,3
2007,1266,1266,6,2,2008,159895,L,1
2007,1146,1246,5,2,2008,187687,L,1
2004,789,1515,8,2,2008,179000,L,4
2004,839,1593,8,2,2008,193000,L,4
2005,856,1166,5,2,2008,190000,L,3
2005,728,1456,8,2,2008,176000,L,3
2002,840,1720,7,2,2008,188000,L,6
2003,847,1986,9,2,2008,213000,L,5
2007,1350,1358,6,2,2008,217300,L,1
2000,936,1792,8,2,2008,186500,L,8
2000,982,1892,8,2,2008,226750,L,8
2004,788,1490,8,2,2008,184000,L,4
2002,707,1414,6,2,2008,176000,L,6
1999,1037,2322,8,2,2008,225000,L,9
1999,831,1651,7,2,2008,185900,L,9
1997,1173,2199,9,2,2008,284500,L,11
1998,1470,2630,8,3,2008,315000,L,10
2000,1145,2198,9,3,2008,250000,L,8
2000,1519,2172,8,3,2008,291000,L,8
1998,1982,2006,5,3,2008,350000,L,10
1996,1064,2125,12,2,2008,279500,L,12
1995,1242,2501,9,3,2008,290000,L,13
1995,2109,2113,7,3,2008,350000,L,13
1993,1311,2418,9,3,2008,341000,L,15
1993,1080,2197,9,3,2008,287500,L,15
1994,1223,2127,5,2,2008,271000,L,14
1994,1986,1987,7,2,2008,301500,L,14
2007,1580,1580,7,3,2008,235128,L,1
2007,894,1933,9,3,2008,214000,L,1
2006,1574,1574,7,3,2008,232000,L,2
2006,1578,1578,7,3,2008,240000,L,2
2008,1498,1506,6,2,2008,264132,L,0
2007,1563,1563,6,3,2008,245000,L,1
2008,1417,1428,6,2,2008,227680,L,0
2007,1341,1861,7,3,2008,257000,L,1
2007,955,1874,8,3,2008,297900,L,1
2006,1460,1460,6,2,2008,247000,L,2
2007,1363,1372,6,2,2008,212700,L,1
2007,1372,1372,6,2,2008,250580,L,1
2007,1428,1428,6,2,2008,182000,L,1
2005,866,1768,7,2,2008,226700,L,3
2003,1053,1992,9,2,2008,250000,L,5
2005,1026,1958,9,3,2008,250000,L,3
2007,1034,2078,8,3,2008,339750,L,1
2007,813,1665,7,2,2008,205950,L,1
2007,1660,1660,7,3,2008,256000,L,1
2007,1218,1218,6,2,2008,230348,L,1
2003,864,1728,7,2,2008,207500,L,5
2004,1080,1080,6,0,2008,141000,S,4
2003,835,1696,7,2,2008,188000,L,5
2003,835,1663,8,2,2008,192500,L,5
2005,1175,1175,6,0,2008,146000,S,3
2004,1114,1114,6,2,2008,159000,L,4
2003,1114,1114,6,2,2008,155000,L,5
2004,798,1640,6,2,2008,173000,L,4
2007,1162,1162,6,2,2008,170000,L,1
1995,754,1609,6,2,2008,182000,L,13
1993,886,1680,7,2,2008,163000,L,15
1994,1408,1679,7,2,2008,193500,L,14
1994,832,1657,6,2,2008,189000,L,14
2001,827,1677,7,2,2008,190500,L,7
1992,836,1737,7,2,2008,175000,L,16
1991,1278,1294,6,2,2008,179200,L,17
1993,832,1710,7,2,2008,187000,L,15
1993,1604,1617,5,2,2008,193000,L,15
1993,1199,1199,5,2,2008,153900,L,15
1963,984,984,5,1,2008,128000,S,45
1962,912,912,4,1,2008,144000,S,46
1961,864,864,5,1,2008,135000,S,47
1968,890,890,5,1,2008,115000,S,40
1963,864,864,5,1,2008,119916,S,45
1961,912,912,5,1,2008,142000,S,47
1974,1430,1430,6,2,2008,192000,L,34
1972,1001,1641,5,2,2008,140000,L,36
1990,930,2683,9,2,2008,290000,L,18
1993,1848,2786,10,2,2008,372500,L,15
2004,1391,1391,5,2,2008,196000,L,4
2006,625,1250,5,2,2008,171900,L,2
2004,1235,1245,5,2,2008,178000,L,4
2005,600,1200,5,2,2008,165000,L,3
2007,689,1392,5,2,2008,146000,L,1
2007,689,1392,5,2,2008,146000,L,1
1999,744,1501,6,2,2008,179400,L,9
1999,744,1549,6,2,2008,172900,L,9
2000,1614,1638,5,2,2008,300000,L,8
2001,1310,1310,5,2,2008,285000,L,7
2001,1419,1419,5,2,2008,290000,L,7
1999,1557,1557,5,2,2008,305000,L,9
1999,1698,1709,5,2,2008,328900,L,9
1999,600,1252,4,2,2008,160000,L,9
1999,672,1404,5,2,2008,170000,L,9
2001,858,1789,7,2,2008,223000,L,7
1999,960,1586,7,2,2008,170000,L,9
1999,960,1607,7,2,2008,200000,L,9
1998,970,2393,7,2,2008,345000,L,10
1996,1260,1288,4,2,2008,245500,L,12
1995,1230,1239,4,2,2008,217500,L,13
1993,1719,1719,6,2,2008,324000,L,15
1984,1232,1232,6,2,2008,162500,L,24
1977,994,2944,9,3,2008,150000,L,31
1976,1426,1671,6,2,2008,290000,L,32
2002,952,1812,7,2,2008,205000,L,6
1970,1304,1682,7,2,2008,174000,L,38
1969,1427,1427,7,2,2008,183000,L,39
1968,1740,1740,8,2,2008,150000,L,40
1971,1258,1258,5,2,2008,145000,L,37
1967,1620,1620,8,2,2008,215000,L,41
1965,1625,1625,8,2,2008,140500,L,43
1974,1522,2614,9,2,2008,240000,L,34
1968,732,1464,7,2,2008,141000,L,40
1965,912,912,5,2,2008,147000,L,43
1965,912,925,5,2,2008,135000,L,43
1965,1728,1728,10,2,2008,145000,L,43
1965,1728,1728,10,2,2008,142600,L,43
1973,1656,1656,8,2,2008,135000,L,35
1971,825,1670,7,2,2008,170000,L,37
1976,1142,2715,11,2,2008,299800,L,32
1974,901,1876,8,2,2008,185000,L,34
1966,800,1632,7,2,2008,173000,L,42
1961,944,999,6,2,2008,178400,L,47
1968,832,1978,9,2,2008,176000,L,40
1956,0,1014,6,1,2008,98000,S,52
1957,907,907,5,1,2008,109008,S,51
1956,952,952,4,1,2008,135750,S,52
1963,1120,1128,6,2,2008,155000,L,45
1964,1425,1425,7,2,2008,180500,L,44
1966,1127,1165,6,2,2008,174900,L,42
1965,1136,1136,5,1,2008,140000,S,43
1964,1092,1092,6,2,2008,145000,L,44
1965,1219,1265,6,2,2008,179900,L,43
1964,1248,1350,6,2,2008,168500,L,44
1961,1114,1114,5,2,2008,140000,L,47
1959,1053,1053,5,1,2008,145500,S,49
1959,1252,1252,7,2,2008,142000,L,49
1960,1100,1100,6,1,2008,141000,S,48
1960,1118,1118,6,1,2008,153000,S,48
1949,0,720,4,1,2008,72500,S,59
1935,270,729,5,0,2008,52000,S,73
1939,991,1077,5,1,2008,118000,S,69
1937,348,906,5,1,2008,87000,S,71
1960,1296,1496,6,2,2008,141500,L,48
1950,1032,1252,6,1,2008,119000,S,58
1950,572,1337,7,1,2008,141500,S,58
1955,992,1661,8,1,2008,165500,S,53
1953,1036,1036,5,1,2008,112900,S,55
1965,864,1820,8,2,2008,201800,L,43
1961,1362,1362,6,2,2008,163000,L,47
1961,1144,1144,6,2,2008,139950,L,47
1962,1319,1537,7,2,2008,174000,L,46
1962,1099,1431,6,1,2008,165000,S,46
1966,1104,1988,9,2,2008,227000,L,42
1955,1098,1098,6,1,2008,135000,S,53
1963,1144,1144,6,1,2008,124000,S,45
1962,931,1283,6,2,2008,140000,L,46
1957,1176,1176,6,1,2008,136500,S,51
1959,1248,1440,7,1,2008,185000,S,49
1958,1261,1261,6,2,2008,163000,L,50
1958,1395,1570,5,2,2008,166800,L,50
1956,1196,1196,6,1,2008,139000,S,52
1957,1392,1392,6,2,2008,166000,L,51
